# rag-service RAG-MEM-DURABILITY-BAR v2 window — cleaned sample series
# container_id=66656926d503a722aaf223408806a7f0b5fd9fb97e928b5197dd9759365ccaa8
# image=sha256:26e681b0ca3a83c87f7eda787c963d0b7ee18094d805cfbc1862a5db18b3fe8c
# started_at=2026-08-14T20:15:29.147681344Z  restart_count=0  mem_limit_bytes=1073741824
# source=/tmp/rag-durability-measurement/memory-samples.csv (ephemeral; 2391 raw lines, 799 well-formed)
# cleaning=kept only lines matching ^ISO8601,<float>,running$ — raw file corrupted by 3 concurrent samplers writing 2 schemas
# persisted_by=po 2026-08-15T09:5xZ  timestamps strictly monotonic, 0 backward steps
timestamp,used_percent,container_status
2026-08-15T01:56:25Z,46.68,running
2026-08-15T01:57:26Z,46.68,running
2026-08-15T01:58:27Z,46.68,running
2026-08-15T01:59:28Z,46.68,running
2026-08-15T02:00:29Z,88.93,running
2026-08-15T02:01:30Z,80.29,running
2026-08-15T02:02:32Z,80.56,running
2026-08-15T02:03:34Z,80.87,running
2026-08-15T02:04:35Z,80.05,running
2026-08-15T02:05:36Z,80.04,running
2026-08-15T02:06:37Z,80.04,running
2026-08-15T02:07:38Z,80.04,running
2026-08-15T02:08:39Z,80.04,running
2026-08-15T02:09:40Z,80.04,running
2026-08-15T02:10:42Z,80.04,running
2026-08-15T02:11:44Z,80.04,running
2026-08-15T02:12:45Z,80.04,running
2026-08-15T02:13:47Z,80.04,running
2026-08-15T02:14:48Z,80.04,running
2026-08-15T02:15:49Z,80.04,running
2026-08-15T02:16:50Z,80.04,running
2026-08-15T02:17:52Z,80.04,running
2026-08-15T02:18:54Z,80.20,running
2026-08-15T02:19:55Z,80.20,running
2026-08-15T02:20:56Z,80.20,running
2026-08-15T02:21:57Z,80.20,running
2026-08-15T02:22:58Z,80.20,running
2026-08-15T02:24:00Z,80.20,running
2026-08-15T02:25:01Z,80.20,running
2026-08-15T02:26:02Z,80.20,running
2026-08-15T02:27:04Z,80.18,running
2026-08-15T02:28:05Z,80.18,running
2026-08-15T02:29:06Z,80.18,running
2026-08-15T02:30:07Z,79.93,running
2026-08-15T02:31:08Z,79.97,running
2026-08-15T02:32:10Z,79.97,running
2026-08-15T02:33:11Z,79.97,running
2026-08-15T02:34:13Z,44.58,running
2026-08-15T02:35:14Z,44.58,running
2026-08-15T02:36:15Z,44.58,running
2026-08-15T02:37:16Z,44.58,running
2026-08-15T02:38:17Z,44.58,running
2026-08-15T02:39:19Z,44.58,running
